parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
FIC_ET_Rc_f_hr_23,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0767,2.0671,0.466,0.146,0.1525,0.0066,3/5,"FIC_ET_Rc_f_hr_23=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","FIC_ET_Rc_f_hr_23=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0066 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0391,2.0278,0.554,0.1772,0.185,0.0078,3/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_Rc_TF_AB_2=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_Rc_TF_AB_2=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0078 -- inconsistent."
MEASURE_ET_lkg_50,MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1698,2.1638,0.279,0.0678,0.0725,0.0046,4/5,"MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_C300pf=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0046 -- inconsistent."
GATE2_CD_358nm_Gate_Leg_Length,MEASURE_ET_DC_RF_Vg_Vbon_min,SIN_Thickness2_RefractiveIndex,b_tree_path_cooccurrence,2.257,2.2525,0.2,-0.0017,0.0024,0.0041,3/5,"GATE2_CD_358nm_Gate_Leg_Length=high, MEASURE_ET_DC_RF_Vg_Vbon_min=low, SIN_Thickness2_RefractiveIndex=low","GATE2_CD_358nm_Gate_Leg_Length=low, MEASURE_ET_DC_RF_Vg_Vbon_min=low, SIN_Thickness2_RefractiveIndex=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0041 -- inconsistent."
FIC_ET_lkg_SY07_10,MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1378,2.1275,0.479,0.0933,0.1028,0.0095,5/5,"FIC_ET_lkg_SY07_10=low, MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=high","FIC_ET_lkg_SY07_10=high, MEASURE_ET_DC_SEC_Vp_1mA=low, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0095 -- inconsistent."
MEASURE_ET_lkg_50_at20V,THIN_ET_TF_AB_2,THIN_ET_lkg_5,c_residual_conditional_structure,2.1672,2.1577,0.441,0.0708,0.0786,0.0078,5/5,"MEASURE_ET_lkg_50_at20V=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_50_at20V=high, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0078 -- inconsistent."
FIC_ET_Rc_f_hr_23,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1021,2.0954,0.32,0.127,0.1326,0.0055,4/5,"FIC_ET_Rc_f_hr_23=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","FIC_ET_Rc_f_hr_23=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0055 -- inconsistent."
MEASURE_ET_lkg_50,MEASURE_ET_lkg_70_at20V,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1717,2.1623,0.433,0.069,0.0775,0.0085,5/5,"MEASURE_ET_lkg_50=low, MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0085 -- inconsistent."
MEASURE_ET_lkg_50,MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1549,2.1444,0.487,0.0822,0.0913,0.0091,5/5,"MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_Cap_USV=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0091 -- inconsistent."
MEASURE_ET_lkg_50,MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1483,2.1412,0.332,0.0884,0.094,0.0056,4/5,"MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_USV_Cap=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_50=high, MEASURE_ET_lkg_USV_Cap=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0056 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_SMALL_Vbgd_0p1,a_chaining_confirmed_pairs,2.0637,2.0639,-0.01,0.1539,0.1534,-0.0005,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_DC_SMALL_Vbgd_0p1=high","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_DC_SMALL_Vbgd_0p1=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0005 -- inconsistent."
TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1104,2.1002,0.487,0.1186,0.1264,0.0078,4/5,"TFRP_ET_Rc_TF_AB_2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","TFRP_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0078 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0512,2.0436,0.374,0.1684,0.174,0.0056,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_Rc_an_ct2=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_Rc_an_ct2=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0056 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_OG144,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0748,2.082,-0.346,0.1481,0.1405,-0.0076,2/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_Rc_OG144=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_Rc_OG144=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0076 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_CapPARCAP,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0703,2.0661,0.199,0.1548,0.1588,0.004,3/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_CapPARCAP=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_CapPARCAP=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0040 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_Rc_f_tn_23,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0455,2.0454,0.006,0.1747,0.173,-0.0017,3/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, FIC_ET_Rc_f_tn_23=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, FIC_ET_Rc_f_tn_23=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0017 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_Rc_f_hr_23,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0626,2.0581,0.215,0.1591,0.1616,0.0025,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, FIC_ET_Rc_f_hr_23=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, FIC_ET_Rc_f_hr_23=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0025 -- inconsistent."
CATHODE_ET_Rcat_cn_3_OW_ST,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0864,2.0794,0.339,0.1416,0.147,0.0054,4/5,"CATHODE_ET_Rcat_cn_3_OW_ST=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","CATHODE_ET_Rcat_cn_3_OW_ST=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0054 -- inconsistent."
MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0889,2.0807,0.39,0.1395,0.1458,0.0064,5/5,"MaskSetSupplyChipsCount=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MaskSetSupplyChipsCount=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0064 -- inconsistent."
MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1253,2.115,0.486,0.1104,0.1185,0.0081,4/5,"MaskSetSupplyChipsCount=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MaskSetSupplyChipsCount=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0081 -- inconsistent."
MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1235,2.1207,0.13,0.1085,0.1111,0.0026,3/5,"MEASURE_ET_lkg_USV_Cap=low, THIN_ET_TF_AB_2=low, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_lkg_USV_Cap=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0026 -- inconsistent."
MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1284,2.1185,0.462,0.1027,0.111,0.0083,5/5,"MEASURE_ET_lkg_Cap_USV=low, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high","MEASURE_ET_lkg_Cap_USV=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0083 -- inconsistent."
MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1467,2.1364,0.48,0.0885,0.0967,0.0082,4/5,"MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=low, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_lkg_C300pf=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0082 -- inconsistent."
MEASURE_ET_lkg_C300pf,MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1501,2.1402,0.461,0.0866,0.0955,0.0089,5/5,"MEASURE_ET_lkg_C300pf=low, MEASURE_ET_lkg_USV_Cap=low, THIN_ET_TF_AB_2=low","MEASURE_ET_lkg_C300pf=high, MEASURE_ET_lkg_USV_Cap=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0089 -- inconsistent."
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,a_chaining_confirmed_pairs,2.0888,2.0807,0.389,0.1348,0.1435,0.0086,3/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0086 -- inconsistent."
SIN_GATE_ET_OHMC,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0904,2.0791,0.539,0.1366,0.1441,0.0076,3/5,"SIN_GATE_ET_OHMC=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","SIN_GATE_ET_OHMC=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0076 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_RF_Modeling_Ls,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0846,2.0847,-0.007,0.1389,0.1389,0.0,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_RF_Modeling_Ls=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_RF_Modeling_Ls=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0000 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_SMALL_Vbgs1,a_chaining_confirmed_pairs,2.0411,2.0374,0.178,0.1755,0.1787,0.0032,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_DC_SMALL_Vbgs1=low","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_DC_SMALL_Vbgs1=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0032 -- inconsistent."
CATHODE_ET_Rcat_cn_2,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0587,2.0634,-0.23,0.1671,0.1629,-0.0042,2/5,"CATHODE_ET_Rcat_cn_2=low, EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, TOPSIN_ET_lkg_C450pf=low","CATHODE_ET_Rcat_cn_2=high, EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0042 -- inconsistent."
CATHODE_ET_Rcat_cn_3_OW_ST,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0732,2.0837,-0.507,0.1538,0.1428,-0.011,3/5,"CATHODE_ET_Rcat_cn_3_OW_ST=low, EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, TOPSIN_ET_lkg_C450pf=low","CATHODE_ET_Rcat_cn_3_OW_ST=high, EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0110 -- inconsistent."
THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0867,2.0772,0.458,0.1361,0.1455,0.0094,3/5,"THIN_ET_Rc_TF_AB_2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0094 -- inconsistent."
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1229,2.118,0.233,0.1057,0.1104,0.0047,4/5,"THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high, TOPSIN_ET_lkg_SY07_10=low","THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0047 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,SIN_GATE_ET_Ran_con_2,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1108,2.1067,0.192,0.1154,0.1207,0.0054,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, SIN_GATE_ET_Ran_con_2=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, SIN_GATE_ET_Ran_con_2=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0054 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,THIN_ET_TF_AB_1,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0891,2.0841,0.242,0.1356,0.1393,0.0036,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0036 -- inconsistent."
TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1156,2.1064,0.435,0.111,0.1204,0.0094,3/5,"TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0094 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1224,2.1202,0.103,0.1136,0.1128,-0.0007,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0007 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1103,2.1077,0.121,0.1184,0.1205,0.0022,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_DC_RF_Vg_optt3=low, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_DC_RF_Vg_optt3=high, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0022 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_G_per_25,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0739,2.0724,0.073,0.1498,0.1501,0.0003,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_G_per_25=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_G_per_25=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0003 -- inconsistent."
ANODE_ET_Probe_Number,ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1026,2.1029,-0.012,0.1245,0.124,-0.0005,3/5,"ANODE_ET_Probe_Number=low, ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Probe_Number=high, ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0005 -- inconsistent."
TOPSIN_ET_CapFICM1_0,TOPSIN_ET_DC_PIV_Ids0_QP3,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.0904,2.08,0.499,0.1322,0.1398,0.0077,5/5,"TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_DC_PIV_Ids0_QP3=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_DC_PIV_Ids0_QP3=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0077 -- inconsistent."
MEASURE_ET_DC_SMALL_Vg_gm_max,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1593,2.1611,-0.083,0.0829,0.0811,-0.0018,1/5,"MEASURE_ET_DC_SMALL_Vg_gm_max=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_DC_SMALL_Vg_gm_max=low, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=low",INCONCLUSIVE,"Full 3-way model did not reproducibly beat lower-order (1/5 folds, incremental R^2=-0.0018)."
